hit_x,hit_y,hit_z,theta,phi,weight,lambda
0.022673,-0.085225,0.010000,0.058125,1.979106,1.000000,4.924367
-0.058234,-0.014835,0.010000,0.043537,0.764543,1.000000,5.073372
-0.107063,-0.011507,0.010000,0.075100,0.492498,1.000000,4.997690
-0.047094,-0.026065,0.010000,0.042484,-0.053365,1.000000,5.027278
0.005053,0.051072,0.010000,0.047712,-1.676944,1.000000,4.958893
0.036921,0.053708,0.010000,0.040162,-1.960224,1.000000,5.142475
0.086033,0.000091,0.010000,0.069128,-2.744148,1.000000,5.162119
0.017695,-0.062551,0.010000,0.026609,2.136447,1.000000,5.205963
0.102451,-0.034278,0.010000,0.083775,2.827979,1.000000,5.165622
0.015186,-0.000859,0.010000,0.012133,-1.602979,1.000000,4.903966
0.030467,-0.060476,0.010000,0.042577,2.260299,1.000000,5.041285
0.044526,0.109043,0.010000,0.093594,-1.751380,1.000000,5.168448
0.083570,0.080028,0.010000,0.065440,-2.753938,1.000000,4.877879
-0.122910,0.060348,0.010000,0.090256,-0.469072,1.000000,4.924701
-0.030640,-0.031037,0.010000,0.045783,1.109598,1.000000,4.832943
0.024998,0.064186,0.010000,0.035905,-1.695285,1.000000,4.997545
-0.117271,-0.082726,0.010000,0.119252,0.778137,1.000000,4.958016
0.113259,-0.078723,0.010000,0.077362,2.619677,1.000000,4.925939
-0.040289,-0.083810,0.010000,0.082088,1.144216,1.000000,5.042528
-0.084989,-0.066736,0.010000,0.078318,0.466628,1.000000,5.010467
0.071262,0.017605,0.010000,0.046308,-2.666896,1.000000,5.001298
-0.078699,0.122944,0.010000,0.113768,-1.014387,1.000000,4.988521
-0.114160,-0.038961,0.010000,0.087489,0.598090,1.000000,4.910478
0.013610,-0.084146,0.010000,0.040618,2.023049,1.000000,5.222180
-0.098901,0.053298,0.010000,0.098645,-0.662388,1.000000,5.148908
0.060569,0.040012,0.010000,0.050922,-2.379340,1.000000,4.940086
0.072532,0.067379,0.010000,0.079904,-2.175227,1.000000,5.161780
0.055541,0.087075,0.010000,0.075576,-2.067765,1.000000,5.205829
0.111062,-0.083114,0.010000,0.084730,2.730600,1.000000,5.074132
-0.080019,0.036808,0.010000,0.065441,-0.661392,1.000000,5.170896
-0.031056,0.080365,0.010000,0.078132,-1.232962,1.000000,4.993757
0.054437,0.003338,0.010000,0.049677,-3.064176,1.000000,4.804089
-0.077604,-0.069633,0.010000,0.066433,0.422138,1.000000,4.885261
0.029661,-0.003989,0.010000,0.020998,2.072669,1.000000,4.840720
-0.003342,-0.089829,0.010000,0.073397,1.561956,1.000000,4.841065
-0.085716,-0.088105,0.010000,0.093647,0.842400,1.000000,4.800344
0.081810,0.109026,0.010000,0.070811,-2.201491,1.000000,5.202522
0.043856,-0.062693,0.010000,0.067733,2.227468,1.000000,4.933449
-0.099452,-0.095526,0.010000,0.089570,0.469823,1.000000,5.193334
-0.101008,0.104496,0.010000,0.098631,-0.824120,1.000000,5.060714
-0.012404,-0.048489,0.010000,0.031148,1.354638,1.000000,5.211760
0.001269,0.020458,0.010000,0.030027,-1.497526,1.000000,4.842166
0.024134,-0.035870,0.010000,0.039693,2.350066,1.000000,5.012533
-0.116904,0.076855,0.010000,0.108886,-0.732810,1.000000,5.188503
0.024864,0.039173,0.010000,0.010841,-2.101781,1.000000,5.238723
-0.088112,-0.102331,0.010000,0.089755,0.987744,1.000000,4.758946
0.056982,0.078943,0.010000,0.056726,-2.077776,1.000000,4.793385
-0.097333,0.052599,0.010000,0.077206,-0.210810,1.000000,5.180020
0.020643,-0.020403,0.010000,0.014989,1.915636,1.000000,4.779250
-0.118580,-0.002859,0.010000,0.083486,0.118456,1.000000,4.793034
0.067573,-0.075292,0.010000,0.041450,2.480062,1.000000,4.935437
0.011708,-0.094663,0.010000,0.068174,1.649651,1.000000,4.963844
-0.071963,-0.018685,0.010000,0.059483,0.419885,1.000000,4.837720
-0.047951,-0.006139,0.010000,0.022642,0.574345,1.000000,5.141167
0.123123,-0.057720,0.010000,0.103777,2.588483,1.000000,4.941890
-0.019410,0.004338,0.010000,0.017394,1.523204,1.000000,4.892004
-0.077837,-0.109936,0.010000,0.095047,0.846479,1.000000,5.163378
0.054559,0.080460,0.010000,0.073710,-2.260555,1.000000,4.911347
-0.074052,-0.033532,0.010000,0.045700,-0.014725,1.000000,4.778975
0.072903,-0.062377,0.010000,0.055605,2.416130,1.000000,4.785011
0.080076,0.097505,0.010000,0.107848,-2.165320,1.000000,5.025910
0.042435,0.051668,0.010000,0.039475,-2.107203,1.000000,4.867155
-0.020796,0.079456,0.010000,0.085546,-1.417636,1.000000,5.154273
-0.113870,-0.029548,0.010000,0.089348,-0.063655,1.000000,4.754235
0.082269,-0.101601,0.010000,0.106655,2.086327,1.000000,5.110728
0.032696,-0.070482,0.010000,0.028881,2.092795,1.000000,4.893747
0.067616,0.050574,0.010000,0.043493,-3.106497,1.000000,4.820962
0.059525,-0.026046,0.010000,0.060701,2.354369,1.000000,5.033405
-0.028098,-0.009618,0.010000,0.012239,0.629642,1.000000,5.015622
-0.034279,0.076111,0.010000,0.036236,-1.033141,1.000000,4.845556
0.086346,-0.106258,0.010000,0.096274,2.337516,1.000000,5.163168
-0.026404,-0.048674,0.010000,0.021397,0.927172,1.000000,4.833186
0.005215,-0.121989,0.010000,0.055086,1.497132,1.000000,5.122010
-0.120580,-0.092409,0.010000,0.125421,0.801817,1.000000,4.756549
-0.060894,0.004122,0.010000,0.056454,0.293351,1.000000,5.003576
0.082661,0.035436,0.010000,0.065574,-2.837282,1.000000,5.222291
-0.100675,0.080995,0.010000,0.100264,-0.964619,1.000000,4.808491
0.046730,-0.018086,0.010000,0.043909,2.449102,1.000000,5.223846
0.066192,-0.097407,0.010000,0.107677,2.068311,1.000000,4.855737
0.035863,0.002938,0.010000,0.036382,-2.653813,1.000000,4.908946
0.015571,0.093084,0.010000,0.072238,-1.869289,1.000000,5.197364
-0.120577,-0.076757,0.010000,0.080332,0.554619,1.000000,5.137987
-0.092754,0.027694,0.010000,0.073537,0.026494,1.000000,4.881550
-0.088934,0.048440,0.010000,0.063436,-0.568191,1.000000,5.019397
0.017844,-0.082957,0.010000,0.044861,2.038848,1.000000,5.166506
-0.001478,0.025403,0.010000,0.027726,-2.024180,1.000000,5.221849
0.004123,0.065111,0.010000,0.020805,-2.462127,1.000000,4.808517
-0.044412,-0.048232,0.010000,0.056234,1.067663,1.000000,4.783714
-0.042421,-0.101688,0.010000,0.042230,1.184097,1.000000,4.878718
0.018377,-0.107967,0.010000,0.056176,1.986203,1.000000,5.167983
0.084495,0.048009,0.010000,0.070445,-2.492137,1.000000,5.086773
0.093292,0.038372,0.010000,0.060114,-2.911093,1.000000,4.774690
0.051754,0.040215,0.010000,0.063389,-2.108046,1.000000,4.992582
-0.065304,-0.082129,0.010000,0.062347,0.834787,1.000000,5.043810
0.105077,-0.106160,0.010000,0.115985,2.108169,1.000000,5.194874
-0.034150,-0.075190,0.010000,0.069460,1.298187,1.000000,4.846580
-0.091156,0.087605,0.010000,0.075718,-0.471304,1.000000,4.932392
-0.010302,-0.000283,0.010000,0.012396,-0.412787,1.000000,5.169768
0.024131,0.020627,0.010000,0.028214,-2.905652,1.000000,4.941681
-0.065642,0.003388,0.010000,0.053144,0.056297,1.000000,4.962036
-0.108148,-0.000466,0.010000,0.088048,0.248755,1.000000,5.117382
0.114741,0.117589,0.010000,0.109827,-2.379931,1.000000,5.125627
-0.037342,-0.024671,0.010000,0.033618,1.123030,1.000000,4.976219
-0.106168,-0.016054,0.010000,0.081056,0.054237,1.000000,4.870992
-0.042694,-0.123060,0.010000,0.081949,1.336932,1.000000,4.847913
0.043098,0.074612,0.010000,0.047455,-2.610547,1.000000,4.854662
0.084375,-0.059249,0.010000,0.090177,2.197179,1.000000,4.798350
0.122516,-0.084262,0.010000,0.099130,2.656716,1.000000,5.234177
0.082463,0.073753,0.010000,0.099482,-2.295581,1.000000,5.133028
0.002741,-0.110963,0.010000,0.054285,1.678365,1.000000,4.769273
-0.002709,0.110058,0.010000,0.085144,-1.652741,1.000000,5.237517
0.116313,0.076246,0.010000,0.116566,-2.387932,1.000000,5.122519
-0.008132,-0.064006,0.010000,0.044581,1.264600,1.000000,5.136855
-0.039167,-0.091879,0.010000,0.075536,1.026751,1.000000,4.967580
0.099722,0.108577,0.010000,0.079919,-2.489446,1.000000,4.883256
-0.098369,0.091129,0.010000,0.066645,-0.537833,1.000000,5.124054
0.098287,0.007250,0.010000,0.070429,-2.982584,1.000000,5.111366
-0.101691,-0.109426,0.010000,0.089102,0.719915,1.000000,5.113294
-0.099599,0.096384,0.010000,0.104851,-0.955434,1.000000,4.955463
-0.018068,0.033366,0.010000,0.016890,-1.156035,1.000000,4.913756
0.089808,-0.115689,0.010000,0.104934,2.293070,1.000000,5.096001
-0.084007,-0.120862,0.010000,0.129955,1.040465,1.000000,5.219044
0.014287,-0.016508,0.010000,0.020332,1.756190,1.000000,5.211467
0.052225,0.052300,0.010000,0.064136,-2.377529,1.000000,5.155572
-0.117471,0.066317,0.010000,0.092975,-0.455932,1.000000,5.226054
0.028436,-0.043435,0.010000,0.027479,1.968891,1.000000,5.239005
0.124422,0.099677,0.010000,0.095686,-2.416718,1.000000,4.783883
-0.077934,-0.104589,0.010000,0.100195,0.944528,1.000000,5.112787
-0.077007,0.046638,0.010000,0.044317,-0.485162,1.000000,4.842855
-0.008242,-0.083845,0.010000,0.088753,1.549901,1.000000,4.874227
0.037556,0.088904,0.010000,0.074468,-1.808899,1.000000,4.900890
-0.039017,0.059241,0.010000,0.053851,-1.018547,1.000000,4.855667
-0.034128,-0.118989,0.010000,0.096987,1.274077,1.000000,4.773964
0.050218,-0.114565,0.010000,0.113252,1.931778,1.000000,4.883091
0.110719,0.082623,0.010000,0.113905,-2.319243,1.000000,5.076785
0.074195,-0.120006,0.010000,0.071690,2.309000,1.000000,5.008884
-0.008137,0.102700,0.010000,0.047628,-1.210360,1.000000,5.063429
0.033815,0.093499,0.010000,0.047975,-2.076204,1.000000,5.212400
-0.072186,0.058687,0.010000,0.064584,-0.442366,1.000000,5.098296
0.073536,-0.122717,0.010000,0.087805,2.110323,1.000000,5.059438
-0.106208,0.012292,0.010000,0.082235,0.195202,1.000000,5.002502
0.038372,-0.074696,0.010000,0.076877,1.783923,1.000000,4.852441
0.120212,0.055099,0.010000,0.106614,-2.540446,1.000000,4.969089
0.073950,0.091909,0.010000,0.072354,-2.248049,1.000000,4.899832
0.061854,-0.048711,0.010000,0.049265,-3.125524,1.000000,5.075870
0.028087,0.068317,0.010000,0.044008,-2.155545,1.000000,4.987636
0.002716,0.057801,0.010000,0.048224,-1.513912,1.000000,4.939561
0.103593,-0.070498,0.010000,0.081462,2.910392,1.000000,5.001426
-0.099855,0.084018,0.010000,0.115440,-0.824093,1.000000,4.765174
0.053117,0.055077,0.010000,0.054026,-2.120295,1.000000,5.205259
-0.041365,-0.110918,0.010000,0.068316,1.049703,1.000000,4.859679
-0.000939,0.014363,0.010000,0.024994,-1.452539,1.000000,4.945993
-0.113722,-0.093739,0.010000,0.098407,0.854229,1.000000,4.976836
-0.092955,-0.039719,0.010000,0.084325,0.574572,1.000000,5.074577
-0.013858,-0.017591,0.010000,0.002033,-1.476026,1.000000,4.786769
0.026660,-0.025825,0.010000,0.050546,2.149271,1.000000,5.121066
0.007235,0.075926,0.010000,0.082987,-1.550129,1.000000,4.788427
0.071289,0.012064,0.010000,0.048782,3.066930,1.000000,4.879763
-0.067528,-0.112180,0.010000,0.112077,1.262458,1.000000,4.780246
-0.050231,0.000477,0.010000,0.027738,0.044106,1.000000,5.152040
-0.053770,-0.042706,0.010000,0.073536,0.939688,1.000000,4.840993
0.007670,-0.117150,0.010000,0.054073,1.884653,1.000000,4.968971
-0.063513,-0.033539,0.010000,0.066882,0.702258,1.000000,4.895015
0.022316,0.070143,0.010000,0.060504,-1.664387,1.000000,5.027265
-0.104449,-0.014192,0.010000,0.081373,-0.276490,1.000000,5.225535
-0.074372,-0.042778,0.010000,0.055380,0.212232,1.000000,5.133506
-0.075331,0.077179,0.010000,0.089328,-0.920423,1.000000,5.115247
0.022360,0.001448,0.010000,0.010856,-2.519457,1.000000,4.851706
-0.057075,0.089571,0.010000,0.052537,-1.002153,1.000000,5.221769
0.110243,-0.023692,0.010000,0.093456,2.631374,1.000000,5.033396
0.087882,0.077551,0.010000,0.070494,-2.458111,1.000000,4.977469
0.106467,0.101595,0.010000,0.119642,-2.179257,1.000000,5.191861
-0.045807,0.074876,0.010000,0.077475,-1.207932,1.000000,5.174753
0.025438,0.075718,0.010000,0.081367,-1.647293,1.000000,5.131881
-0.026234,-0.039102,0.010000,0.023685,0.727428,1.000000,5.159161
0.121005,-0.036411,0.010000,0.107896,2.623963,1.000000,5.133619
-0.027065,0.039958,0.010000,0.040378,-1.374743,1.000000,4.823226
-0.012153,0.015380,0.010000,0.027452,-0.715665,1.000000,4.919227
0.019198,-0.022543,0.010000,0.031492,1.810324,1.000000,5.200217
0.103237,-0.114635,0.010000,0.118563,2.280389,1.000000,4.793324
-0.049627,0.072664,0.010000,0.060742,-1.089331,1.000000,5.103710
0.011310,-0.082859,0.010000,0.035151,2.005285,1.000000,4.930315
-0.082424,0.095722,0.010000,0.106349,-1.069646,1.000000,5.093766
-0.120015,0.122554,0.010000,0.136734,-0.828393,1.000000,5.012038
0.001117,0.112317,0.010000,0.080126,-1.455636,1.000000,5.187608
-0.038377,0.011427,0.010000,0.034001,0.413911,1.000000,5.101045
-0.071614,0.082882,0.010000,0.067193,-0.654384,1.000000,5.244009
-0.030114,-0.060945,0.010000,0.070807,1.251284,1.000000,4.962514
0.040952,0.064704,0.010000,0.024409,-2.307851,1.000000,4.930683
0.061197,0.088202,0.010000,0.079517,-2.308971,1.000000,5.092414
-0.068847,-0.122488,0.010000,0.081643,0.973718,1.000000,5.248430
-0.051573,-0.105924,0.010000,0.104018,1.297326,1.000000,5.050800
0.111474,-0.001939,0.010000,0.086756,-3.069282,1.000000,5.068478
-0.080077,0.017323,0.010000,0.057810,-0.063805,1.000000,5.190432
-0.100922,-0.083681,0.010000,0.098525,0.717855,1.000000,5.147231
-0.073864,-0.006902,0.010000,0.059555,0.490785,1.000000,5.190489
-0.003880,-0.036469,0.010000,0.027703,1.269844,1.000000,4.883341
0.003991,0.030484,0.010000,0.050934,-1.511888,1.000000,5.155986
-0.011257,0.043444,0.010000,0.027153,-0.696066,1.000000,4.801473
0.000951,0.091095,0.010000,0.068642,-1.571345,1.000000,4.855134
-0.042775,0.032809,0.010000,0.019906,-0.478647,1.000000,4.854205
-0.046892,-0.045693,0.010000,0.061610,1.204760,1.000000,5.211294
-0.020905,0.093364,0.010000,0.080747,-1.356939,1.000000,4.974750
0.040386,0.081559,0.010000,0.069009,-2.008146,1.000000,4.849762
0.000028,-0.085382,0.010000,0.078564,1.400518,1.000000,4.805356
-0.028848,0.018101,0.010000,0.011828,0.770446,1.000000,5.009940
-0.116009,0.018121,0.010000,0.085021,-0.121176,1.000000,4.991365
-0.076414,0.112142,0.010000,0.090224,-1.089714,1.000000,5.095037
0.092729,-0.103983,0.010000,0.088725,2.307995,1.000000,5.039983
-0.102145,-0.040442,0.010000,0.070243,0.540993,1.000000,5.035590
0.006923,0.124296,0.010000,0.092017,-1.484809,1.000000,4.809843
0.032875,0.060725,0.010000,0.062096,-1.844949,1.000000,4.875447
0.098268,-0.075392,0.010000,0.075158,2.844607,1.000000,4.773371
0.034563,-0.084237,0.010000,0.086852,1.855651,1.000000,5.157016
-0.045548,-0.032338,0.010000,0.058401,0.739490,1.000000,5.215974
0.113523,0.078324,0.010000,0.086068,-2.819954,1.000000,4.824667
0.043426,-0.121417,0.010000,0.069175,1.887714,1.000000,4.800309
0.103279,-0.037564,0.010000,0.075498,-3.062707,1.000000,5.089369
0.045311,-0.028637,0.010000,0.032515,2.519675,1.000000,5.187223
0.051983,0.023497,0.010000,0.038666,-2.229746,1.000000,4.828528
0.011273,-0.006764,0.010000,0.005734,-2.013032,1.000000,4.792055
0.113078,-0.099353,0.010000,0.115506,2.142036,1.000000,5.127342
-0.071456,0.066382,0.010000,0.094550,-0.868431,1.000000,5.014068
-0.009231,-0.079451,0.010000,0.050166,1.244765,1.000000,5.217135
-0.089000,0.004647,0.010000,0.056903,-0.152513,1.000000,4.961690
-0.123551,-0.109309,0.010000,0.117375,0.728882,1.000000,4.909230
-0.113999,-0.090044,0.010000,0.104644,0.908526,1.000000,4.944721
-0.033135,0.014814,0.010000,0.031476,0.591215,1.000000,4.799821
0.039019,0.036743,0.010000,0.048164,-2.207071,1.000000,5.130395
0.108607,-0.033711,0.010000,0.059453,3.100133,1.000000,5.145263
0.122784,0.096776,0.010000,0.097301,-2.612624,1.000000,4.905751
0.068522,-0.011633,0.010000,0.045539,-2.635720,1.000000,5.216834
-0.094534,0.026662,0.010000,0.086744,-0.594132,1.000000,4.805574
0.053395,0.075494,0.010000,0.047748,-2.604190,1.000000,4.753990
0.103339,0.040999,0.010000,0.066979,-3.087014,1.000000,5.112308
0.102439,0.110379,0.010000,0.079429,-2.570622,1.000000,4.944948
0.078280,-0.067347,0.010000,0.064088,2.592218,1.000000,5.121459
-0.073688,0.001161,0.010000,0.068864,0.423855,1.000000,4.783900
-0.035655,0.039375,0.010000,0.029886,-0.426382,1.000000,4.805782
-0.026163,-0.101647,0.010000,0.096488,1.430986,1.000000,5.169426
0.093208,0.045065,0.010000,0.086237,-2.348145,1.000000,4.875369
-0.091729,0.105739,0.010000,0.108254,-0.946182,1.000000,5.064841
-0.002698,0.044963,0.010000,0.014330,-2.060580,1.000000,4.894639
-0.018677,-0.109514,0.010000,0.083359,1.492232,1.000000,5.008558
0.043443,0.012103,0.010000,0.034164,-2.596966,1.000000,4.922774
0.110836,0.026073,0.010000,0.073842,-3.007957,1.000000,5.161391
0.014451,0.094632,0.010000,0.044023,-1.619149,1.000000,4.991094
0.060881,0.037775,0.010000,0.046708,-2.901683,1.000000,5.221367
0.014572,-0.063456,0.010000,0.038108,1.892232,1.000000,4.883121
0.049963,-0.027860,0.010000,0.033867,-2.789358,1.000000,5.201403
-0.003383,-0.073629,0.010000,0.082773,1.415072,1.000000,4.884200
0.094322,-0.088366,0.010000,0.101428,2.417558,1.000000,5.082512
0.101289,-0.038844,0.010000,0.092710,2.635141,1.000000,4.818296
0.105498,-0.063095,0.010000,0.089315,2.383873,1.000000,4.832832
0.047843,-0.083052,0.010000,0.050422,2.326987,1.000000,4.781672
-0.005368,-0.108231,0.010000,0.084746,1.390213,1.000000,5.027188
-0.076071,0.115836,0.010000,0.074939,-0.897818,1.000000,5.015666
